店舗CD,店舗名,都道府県,住所,出荷日,商品CD,商品名,入数,総pc数
S001,東京本店,東京都,東京都渋谷区1-1-1,2025-02-01,P001,商品A,12,120
S001,東京本店,東京都,東京都渋谷区1-1-1,2025-02-01,P002,商品B,24,48
S002,大阪支店,大阪府,大阪府大阪市中央区2-2-2,2025-02-01,P001,商品A,12,60
S002,大阪支店,大阪府,大阪府大阪市中央区2-2-2,2025-02-01,P003,商品C,6,30
S003,名古屋店,愛知県,愛知県名古屋市中区3-3-3,2025-02-02,P002,商品B,24,72
S003,名古屋店,愛知県,愛知県名古屋市中区3-3-3,2025-02-02,P004,商品D,10,50
S004,福岡店,福岡県,福岡県福岡市博多区4-4-4,2025-02-02,P001,商品A,12,36
S005,札幌店,北海道,北海道札幌市中央区5-5-5,2025-02-03,P003,商品C,6,18
S005,札幌店,北海道,北海道札幌市中央区5-5-5,2025-02-03,P005,商品E,20,100
S006,仙台店,宮城県,宮城県仙台市青葉区6-6-6,2025-02-03,P002,商品B,24,96
